('you', array([[ 0.97045196,  0.02954804]]))
('insist', array([[ 0.10944922,  0.89055078]]))
('fixing', array([[ 0.10944357,  0.89055643]]))
('battle', array([[ 0.10932537,  0.89067463]]))
('pics', array([[ 0.109302,  0.890698]]))
('college', array([[ 0.10929059,  0.89070941]]))
('twice', array([[ 0.10927666,  0.89072334]]))
('north', array([[ 0.10925239,  0.89074761]]))
('region', array([[ 0.10919453,  0.89080547]]))
('names', array([[ 0.10912503,  0.89087497]]))
('israel', array([[ 0.10905866,  0.89094134]]))
('cross', array([[ 0.10897504,  0.89102496]]))
('count', array([[ 0.10897051,  0.89102949]]))
('explanation', array([[ 0.10884003,  0.89115997]]))
('outcome', array([[ 0.10866449,  0.89133551]]))
('paul', array([[ 0.10854767,  0.89145233]]))
('western', array([[ 0.10854244,  0.89145756]]))
('considered', array([[ 0.10854141,  0.89145859]]))
('personally', array([[ 0.10850225,  0.89149775]]))
('associated', array([[ 0.10848407,  0.89151593]]))
('04', array([[ 0.10843306,  0.89156694]]))
('also', array([[ 0.10836881,  0.89163119]]))
('de', array([[ 0.10828698,  0.89171302]]))
('originally', array([[ 0.10822214,  0.89177786]]))
('reversion', array([[ 0.10820527,  0.89179473]]))
('commonly', array([[ 0.1081801,  0.8918199]]))
('advise', array([[ 0.10813629,  0.89186371]]))
('dogs', array([[ 0.10804291,  0.89195709]]))
('contribution', array([[ 0.10804048,  0.89195952]]))
('comment', array([[ 0.10801636,  0.89198364]]))
('notice', array([[ 0.10795056,  0.89204944]]))
('incorrect', array([[ 0.10792482,  0.89207518]]))
('justify', array([[ 0.10773669,  0.89226331]]))
('registered', array([[ 0.10773441,  0.89226559]]))
('best', array([[ 0.10770375,  0.89229625]]))
('yahoo', array([[ 0.10763045,  0.89236955]]))
('reach', array([[ 0.1075933,  0.8924067]]))
('limited', array([[ 0.10756949,  0.89243051]]))
('shouldn', array([[ 0.10738699,  0.89261301]]))
('entries', array([[ 0.10732823,  0.89267177]]))
('copy', array([[ 0.10730326,  0.89269674]]))
('turkish', array([[ 0.10729369,  0.89270631]]))
('perfectly', array([[ 0.10719057,  0.89280943]]))
('watchlist', array([[ 0.10715502,  0.89284498]]))
('citation', array([[ 0.10694155,  0.89305845]]))
('conflict', array([[ 0.10687993,  0.89312007]]))
('appear', array([[ 0.10685853,  0.89314147]]))
('christians', array([[ 0.10673993,  0.89326007]]))
('batman', array([[ 0.1066924,  0.8933076]]))
('january', array([[ 0.10666978,  0.89333022]]))
('peace', array([[ 0.10663074,  0.89336926]]))
('questions', array([[ 0.10637256,  0.89362744]]))
('top', array([[ 0.10636357,  0.89363643]]))
('review', array([[ 0.10635243,  0.89364757]]))
('might', array([[ 0.10635064,  0.89364936]]))
('short', array([[ 0.10632883,  0.89367117]]))
('debate', array([[ 0.10623201,  0.89376799]]))
('ann', array([[ 0.10620976,  0.89379024]]))
('macedonia', array([[ 0.10614863,  0.89385137]]))
('week', array([[ 0.10594624,  0.89405376]]))
('en', array([[ 0.10585926,  0.89414074]]))
('rfc', array([[ 0.10576388,  0.89423612]]))
('avoid', array([[ 0.10575956,  0.89424044]]))
('html', array([[ 0.10572285,  0.89427715]]))
('ancient', array([[ 0.10555936,  0.89444064]]))
('happy', array([[ 0.10538775,  0.89461225]]))
('mark', array([[ 0.10533164,  0.89466836]]))
('rock', array([[ 0.10525959,  0.89474041]]))
('east', array([[ 0.10525755,  0.89474245]]))
('sign', array([[ 0.10525455,  0.89474545]]))
('arbitration', array([[ 0.10523569,  0.89476431]]))
('chance', array([[ 0.10516603,  0.89483397]]))
('photo', array([[ 0.10499119,  0.89500881]]))
('userbox', array([[ 0.10495325,  0.89504675]]))
('indeed', array([[ 0.10494613,  0.89505387]]))
('since', array([[ 0.10493292,  0.89506708]]))
('security', array([[ 0.10485903,  0.89514097]]))
('final', array([[ 0.10481947,  0.89518053]]))
('provide', array([[ 0.10457918,  0.89542082]]))
('editing', array([[ 0.10450521,  0.89549479]]))
('flag', array([[ 0.10436365,  0.89563635]]))
('character', array([[ 0.10435391,  0.89564609]]))
('population', array([[ 0.10417674,  0.89582326]]))
('newcomers', array([[ 0.10404778,  0.89595222]]))
('tagged', array([[ 0.10384837,  0.89615163]]))
('links', array([[ 0.10383284,  0.89616716]]))
('include', array([[ 0.10380133,  0.89619867]]))
('titles', array([[ 0.10376826,  0.89623174]]))
('party', array([[ 0.10367531,  0.89632469]]))
('recognition', array([[ 0.10357438,  0.89642562]]))
('revolution', array([[ 0.10356557,  0.89643443]]))
('interest', array([[ 0.103429,  0.896571]]))
('watching', array([[ 0.10328175,  0.89671825]]))
('votes', array([[ 0.10321109,  0.89678891]]))
('ip', array([[ 0.10315758,  0.89684242]]))
('action', array([[ 0.10302783,  0.89697217]]))
('involved', array([[ 0.10288102,  0.89711898]]))
('energy', array([[ 0.10283584,  0.89716416]]))
('other', array([[ 0.10281863,  0.89718137]]))
('jpg', array([[ 0.10280621,  0.89719379]]))
('100', array([[ 0.10277253,  0.89722747]]))
('points', array([[ 0.10272401,  0.89727599]]))
('certainly', array([[ 0.10271445,  0.89728555]]))
('administrator', array([[ 0.10270383,  0.89729617]]))
('various', array([[ 0.10269994,  0.89730006]]))
('00', array([[ 0.10267161,  0.89732839]]))
('university', array([[ 0.10264133,  0.89735867]]))
('29', array([[ 0.1025794,  0.8974206]]))
('wales', array([[ 0.10254541,  0.89745459]]))
('has', array([[ 0.10251206,  0.89748794]]))
('stub', array([[ 0.10238654,  0.89761346]]))
('18', array([[ 0.10233278,  0.89766722]]))
('npov', array([[ 0.10229792,  0.89770208]]))
('move', array([[ 0.10226835,  0.89773165]]))
('info', array([[ 0.1022382,  0.8977618]]))
('more', array([[ 0.10202246,  0.89797754]]))
('keep', array([[ 0.10200711,  0.89799289]]))
('entry', array([[ 0.10181569,  0.89818431]]))
('guess', array([[ 0.10171741,  0.89828259]]))
('sleep', array([[ 0.10164481,  0.89835519]]))
('hours', array([[ 0.10138099,  0.89861901]]))
('whether', array([[ 0.10133229,  0.89866771]]))
('fixed', array([[ 0.10131614,  0.89868386]]))
('using', array([[ 0.10125332,  0.89874668]]))
('usually', array([[ 0.10110464,  0.89889536]]))
('type', array([[ 0.10105156,  0.89894844]]))
('due', array([[ 0.10104971,  0.89895029]]))
('let', array([[ 0.10100793,  0.89899207]]))
('characters', array([[ 0.10096511,  0.89903489]]))
('song', array([[ 0.10089951,  0.89910049]]))
('most', array([[ 0.10084509,  0.89915491]]))
('3rr', array([[ 0.10040553,  0.89959447]]))
('categories', array([[ 0.10014755,  0.89985245]]))
('responded', array([[ 0.09998682,  0.90001318]]))
('trolling', array([[ 0.09994547,  0.90005453]]))
('separate', array([[ 0.09989646,  0.90010354]]))
('disambiguation', array([[ 0.09987902,  0.90012098]]))
('currently', array([[ 0.09987803,  0.90012197]]))
('not', array([[ 0.09952898,  0.90047102]]))
('remember', array([[ 0.09935751,  0.90064249]]))
('although', array([[ 0.09934546,  0.90065454]]))
('vfd', array([[ 0.09932277,  0.90067723]]))
('should', array([[ 0.09926182,  0.90073818]]))
('rather', array([[ 0.09921326,  0.90078674]]))
('references', array([[ 0.09917374,  0.90082626]]))
('30', array([[ 0.0991712,  0.9008288]]))
('example', array([[ 0.09914222,  0.90085778]]))
('advocate', array([[ 0.09889877,  0.90110123]]))
('second', array([[ 0.09885206,  0.90114794]]))
('recent', array([[ 0.09884706,  0.90115294]]))
('only', array([[ 0.09883922,  0.90116078]]))
('students', array([[ 0.09880041,  0.90119959]]))
('march', array([[ 0.09867268,  0.90132732]]))
('website', array([[ 0.09850834,  0.90149166]]))
('common', array([[ 0.09846058,  0.90153942]]))
('wanted', array([[ 0.09838969,  0.90161031]]))
('done', array([[ 0.09838437,  0.90161563]]))
('fine', array([[ 0.09818244,  0.90181756]]))
('peter', array([[ 0.0980081,  0.9019919]]))
('merged', array([[ 0.09799758,  0.90200242]]))
('grammar', array([[ 0.09792349,  0.90207651]]))
('established', array([[ 0.09782866,  0.90217134]]))
('06', array([[ 0.09750648,  0.90249352]]))
('realize', array([[ 0.09736044,  0.90263956]]))
('were', array([[ 0.09727012,  0.90272988]]))
('style', array([[ 0.09713235,  0.90286765]]))
('add', array([[ 0.09702239,  0.90297761]]))
('articles', array([[ 0.09699971,  0.90300029]]))
('build', array([[ 0.09697192,  0.90302808]]))
('placed', array([[ 0.09674668,  0.90325332]]))
('february', array([[ 0.0965853,  0.9034147]]))
('whom', array([[ 0.09646944,  0.90353056]]))
('24', array([[ 0.09639813,  0.90360187]]))
('tom', array([[ 0.09626065,  0.90373935]]))
('original', array([[ 0.09611234,  0.90388766]]))
('england', array([[ 0.09603072,  0.90396928]]))
('advice', array([[ 0.09578239,  0.90421761]]))
('special', array([[ 0.09556759,  0.90443241]]))
('saw', array([[ 0.09550896,  0.90449104]]))
('snowspinner', array([[ 0.09546864,  0.90453136]]))
('issue', array([[ 0.09538564,  0.90461436]]))
('named', array([[ 0.09517874,  0.90482126]]))
('process', array([[ 0.0951619,  0.9048381]]))
('did', array([[ 0.09514064,  0.90485936]]))
('or', array([[ 0.09511959,  0.90488041]]))
('www', array([[ 0.0950887,  0.9049113]]))
('controversy', array([[ 0.09497935,  0.90502065]]))
('important', array([[ 0.09496101,  0.90503899]]))
('redirect', array([[ 0.09486649,  0.90513351]]))
('that', array([[ 0.094657,  0.905343]]))
('com', array([[ 0.09464526,  0.90535474]]))
('taken', array([[ 0.0945826,  0.9054174]]))
('03', array([[ 0.09454666,  0.90545334]]))
('book', array([[ 0.09454346,  0.90545654]]))
('pictures', array([[ 0.09451047,  0.90548953]]))
('was', array([[ 0.09434189,  0.90565811]]))
('guidelines', array([[ 0.09417183,  0.90582817]]))
('series', array([[ 0.09407562,  0.90592438]]))
('wikiproject', array([[ 0.09404541,  0.90595459]]))
('test', array([[ 0.09402618,  0.90597382]]))
('reverting', array([[ 0.09377417,  0.90622583]]))
('definition', array([[ 0.09373541,  0.90626459]]))
('error', array([[ 0.09333377,  0.90666623]]))
('almost', array([[ 0.0932206,  0.9067794]]))
('month', array([[ 0.09287947,  0.90712053]]))
('create', array([[ 0.09287281,  0.90712719]]))
('way', array([[ 0.09286331,  0.90713669]]))
('bold', array([[ 0.09280964,  0.90719036]]))
('heard', array([[ 0.09256072,  0.90743928]]))
('information', array([[ 0.09244464,  0.90755536]]))
('sounds', array([[ 0.09243775,  0.90756225]]))
('bio', array([[ 0.09225392,  0.90774608]]))
('chinese', array([[ 0.09223653,  0.90776347]]))
('talk', array([[ 0.09211121,  0.90788879]]))
('mention', array([[ 0.09203988,  0.90796012]]))
('included', array([[ 0.09200847,  0.90799153]]))
('present', array([[ 0.09188743,  0.90811257]]))
('happened', array([[ 0.09174634,  0.90825366]]))
('position', array([[ 0.09171183,  0.90828817]]))
('quotes', array([[ 0.09150001,  0.90849999]]))
('tag', array([[ 0.09125931,  0.90874069]]))
('couldn', array([[ 0.09125588,  0.90874412]]))
('official', array([[ 0.09125545,  0.90874455]]))
('which', array([[ 0.09113072,  0.90886928]]))
('title', array([[ 0.09107545,  0.90892455]]))
('above', array([[ 0.0908648,  0.9091352]]))
('though', array([[ 0.09084464,  0.90915536]]))
('new', array([[ 0.09072081,  0.90927919]]))
('friend', array([[ 0.09040517,  0.90959483]]))
('15', array([[ 0.09036584,  0.90963416]]))
('mentioned', array([[ 0.09012012,  0.90987988]]))
('relevant', array([[ 0.0900797,  0.9099203]]))
('specific', array([[ 0.08971992,  0.91028008]]))
('quite', array([[ 0.08957542,  0.91042458]]))
('use', array([[ 0.08921267,  0.91078733]]))
('rfa', array([[ 0.08913134,  0.91086866]]))
('wondering', array([[ 0.0888059,  0.9111941]]))
('states', array([[ 0.08834391,  0.91165609]]))
('discussion', array([[ 0.08831162,  0.91168838]]))
('argument', array([[ 0.08818257,  0.91181743]]))
('agreed', array([[ 0.08807681,  0.91192319]]))
('how', array([[ 0.08802672,  0.91197328]]))
('before', array([[ 0.08795667,  0.91204333]]))
('make', array([[ 0.08795338,  0.91204662]]))
('category', array([[ 0.08765018,  0.91234982]]))
('about', array([[ 0.08763851,  0.91236149]]))
('version', array([[ 0.08732839,  0.91267161]]))
('hope', array([[ 0.08679806,  0.91320194]]))
('continue', array([[ 0.08648083,  0.91351917]]))
('between', array([[ 0.08641486,  0.91358514]]))
('reference', array([[ 0.08640315,  0.91359685]]))
('where', array([[ 0.0863221,  0.9136779]]))
('two', array([[ 0.08620306,  0.91379694]]))
('both', array([[ 0.08616661,  0.91383339]]))
('december', array([[ 0.08611915,  0.91388085]]))
('contact', array([[ 0.08606993,  0.91393007]]))
('probably', array([[ 0.08595836,  0.91404164]]))
('non', array([[ 0.08567721,  0.91432279]]))
('reading', array([[ 0.08562095,  0.91437905]]))
('different', array([[ 0.08547549,  0.91452451]]))
('consensus', array([[ 0.08545997,  0.91454003]]))
('current', array([[ 0.08544033,  0.91455967]]))
('years', array([[ 0.0849454,  0.9150546]]))
('paragraph', array([[ 0.08492763,  0.91507237]]))
('level', array([[ 0.08429755,  0.91570245]]))
('address', array([[ 0.08399642,  0.91600358]]))
('after', array([[ 0.08398012,  0.91601988]]))
('sure', array([[ 0.08371771,  0.91628229]]))
('content', array([[ 0.08355896,  0.91644104]]))
('listed', array([[ 0.08351247,  0.91648753]]))
('good', array([[ 0.08324966,  0.91675034]]))
('made', array([[ 0.08303938,  0.91696062]]))
('history', array([[ 0.08296415,  0.91703585]]))
('say', array([[ 0.0817254,  0.9182746]]))
('at', array([[ 0.08172158,  0.91827842]]))
('running', array([[ 0.08162088,  0.91837912]]))
('sources', array([[ 0.08075339,  0.91924661]]))
('maybe', array([[ 0.08063713,  0.91936287]]))
('asked', array([[ 0.08036714,  0.91963286]]))
('great', array([[ 0.07985362,  0.92014638]]))
('2006', array([[ 0.07818554,  0.92181446]]))
('came', array([[ 0.07791605,  0.92208395]]))
('of', array([[ 0.07776148,  0.92223852]]))
('picture', array([[ 0.07691435,  0.92308565]]))
('2004', array([[ 0.07688052,  0.92311948]]))
('vote', array([[ 0.07686816,  0.92313184]]))
('number', array([[ 0.07681453,  0.92318547]]))
('seems', array([[ 0.07649889,  0.92350111]]))
('regarding', array([[ 0.07632185,  0.92367815]]))
('explain', array([[ 0.07611838,  0.92388162]]))
('ask', array([[ 0.07603262,  0.92396738]]))
('perhaps', array([[ 0.0755041,  0.9244959]]))
('understand', array([[ 0.07486183,  0.92513817]]))
('actually', array([[ 0.07446629,  0.92553371]]))
('email', array([[ 0.07348793,  0.92651207]]))
('could', array([[ 0.07321426,  0.92678574]]))
('cheers', array([[ 0.0725389,  0.9274611]]))
('think', array([[ 0.07200433,  0.92799567]]))
('this', array([[ 0.07171348,  0.92828652]]))
('first', array([[ 0.07118428,  0.92881572]]))
('point', array([[ 0.07103603,  0.92896397]]))
('know', array([[ 0.07093432,  0.92906568]]))
('we', array([[ 0.07082951,  0.92917049]]))
('neutral', array([[ 0.07016229,  0.92983771]]))
('note', array([[ 0.06957103,  0.93042897]]))
('section', array([[ 0.06790727,  0.93209273]]))
('check', array([[ 0.06705276,  0.93294724]]))
('hello', array([[ 0.06700495,  0.93299505]]))
('added', array([[ 0.06670056,  0.93329944]]))
('utc', array([[ 0.06560693,  0.93439307]]))
('ve', array([[ 0.06557675,  0.93442325]]))
('part', array([[ 0.06555556,  0.93444444]]))
('copyright', array([[ 0.06528672,  0.93471328]]))
('wp', array([[ 0.06469066,  0.93530934]]))
('welcome', array([[ 0.06345206,  0.93654794]]))
('may', array([[ 0.06308796,  0.93691204]]))
('as', array([[ 0.06205458,  0.93794542]]))
('please', array([[ 0.05983701,  0.94016299]]))
('believe', array([[ 0.05949946,  0.94050054]]))
('edit', array([[ 0.05941888,  0.94058112]]))
('but', array([[ 0.05910392,  0.94089608]]))
('in', array([[ 0.05736203,  0.94263797]]))
('if', array([[ 0.05609282,  0.94390718]]))
('would', array([[ 0.05602697,  0.94397303]]))
('any', array([[ 0.05570775,  0.94429225]]))
('list', array([[ 0.05525207,  0.94474793]]))
('image', array([[ 0.05504166,  0.94495834]]))
('source', array([[ 0.05421547,  0.94578453]]))
('see', array([[ 0.05413921,  0.94586079]]))
('name', array([[ 0.05290187,  0.94709813]]))
('sorry', array([[ 0.048959,  0.951041]]))
('help', array([[ 0.04828764,  0.95171236]]))
('to', array([[ 0.04339774,  0.95660226]]))
('thank', array([[ 0.04122289,  0.95877711]]))
('hi', array([[ 0.03979081,  0.96020919]]))
('it', array([[ 0.03664723,  0.96335277]]))
('from', array([[ 0.03585102,  0.96414898]]))
('article', array([[ 0.03540687,  0.96459313]]))
('thanks', array([[ 0.03246451,  0.96753549]]))
('there', array([[ 0.02751233,  0.97248767]]))
('the', array([[ 0.02107591,  0.97892409]]))
